aquifer_name,aquifer_number,pas_or_sas,aquifer_type,n_orphan_wells,mean_spud_date,haca_group,susceptibility_factors,notes
Pennsylvanian aquifers,0,PAS,Sandstone aquifers,31872,1945.33213,1,4,
Mississippian aquifers,1,PAS,Sandstone and carbonate-rock aquifers,13934,1950.318204,3,3,
Silurian-Devonian aquifers,2,PAS,Carbonate-rock aquifers,2709,1912.556449,5,3,
Mississippi embayment aquifer system,3,PAS,Semiconsolidated sand aquifers,2573,1973.524616,3,2,
Coastal lowlands aquifer system,4,PAS,Semiconsolidated sand aquifers,2175,1974.797949,3,1,
Lower Tertiary aquifers,5,PAS,Sandstone aquifers,1845,1999.192102,4,2,
High Plains aquifer,6,PAS,Unconsolidated Sand and Gravel Aquifers,1380,1981.753068,4,0,
California Coastal Basin aquifers,7,PAS,Unconsolidated Sand and Gravel Aquifers,1215,1951.640192,2,1,
Texas coastal uplands aquifer system,8,PAS,Semiconsolidated sand aquifers,1189,1982.041054,3,2,
Ada-Vamoosa aquifer,9,PAS,Sandstone aquifers,1070,,4,2,
Mississippi River Valley alluvial aquifer,10,PAS,Unconsolidated Sand and Gravel Aquifers,694,1972.590075,2,1,
Pecos River Basin alluvial aquifer,11,PAS,Unconsolidated Sand and Gravel Aquifers,666,1965.827295,4,1,
Central Valley aquifer system,12,PAS,Unconsolidated Sand and Gravel Aquifers,607,1943.58871,2,1,
Edwards-Trinity aquifer system,13,PAS,Sandstone and carbonate-rock aquifers,567,1974.171555,4,1,
Central Oklahoma aquifer,14,PAS,Sandstone aquifers,359,1973.196875,4,2,
Lower Cretaceous aquifers,15,PAS,Sandstone aquifers,263,1986.237841,4,1,
Colorado Plateaus aquifers,16,PAS,Sandstone aquifers,257,1977.512692,4,2,
Ozark Plateaus aquifer system,17,PAS,Carbonate-rock aquifers,170,1952.104512,4,2,
Upper Cretaceous aquifers,18,PAS,Sandstone aquifers,140,1985.854095,4,1,
New York and New England carbonate-rock aquifers,19,PAS,Carbonate-rock aquifers,108,1933.456452,5,4,
Rush Springs aquifer,,PAS,Sandstone aquifers,83,1951.648388,,2,
Basin and Range basin-fill aquifers,,PAS,Unconsolidated Sand and Gravel Aquifers,83,1951.094254,,1,
New York sandstone aquifers,,PAS,Sandstone aquifers,65,1931.630757,,3,
Denver Basin aquifer system,,PAS,Sandstone aquifers,39,1979.710694,,2,
Valley and Ridge aquifers,,PAS,Sandstone and carbonate-rock aquifers,37,1965.750521,,3,
Seymour aquifer,,PAS,Unconsolidated Sand and Gravel Aquifers,30,1981.604302,,0,
Southeastern Coastal Plain aquifer system,,PAS,Semiconsolidated sand aquifers,19,1984.603879,,2,
Marshall aquifer,,PAS,Sandstone aquifers,13,1982.303765,,1,
Basin and Range carbonate-rock aquifers,,PAS,Carbonate-rock aquifers,12,1947.667675,,2,
